1,Fenerbahce kurulus?,1907,Diego Simeone|Hakan Sukur|Joshua Kimmich|1907
1,Besiktas kurulus?,1903,Uruguay|1903|Romario|Misir
1,2022 Dunya Kupasi nerede?,Katar,Katar|Luis Figo|Paolo Maldini|Turkiye
1,2018 Dunya Kupasi nerede?,Rusya,Almanya|Aston Villa|Rusya|Eden Hazard
1,2014 Dunya Kupasi nerede?,Brezilya,Brezilya|Johan Cruyff|Bayern Munich|Ribery
1,2022 DK kim kazandi?,Arjantin,Arjantin|Roberto Baggio|Kaka|Neymar
1,2018 DK kim kazandi?,Fransa,Camp Nou|Sevilla|Fransa|Belcika
1,2014 DK kim kazandi?,Almanya,Almanya|EURO|Chelsea|Sag Bek
1,2010 DK kim kazandi?,Ispanya,Ispanya|Mohamed Salah|Sporting|Lyon
1,Ilk Dunya Kupasi kac?,1930,Havertz|FA Cup|1930|Barcelona
1,Ilk DK sampiyonu?,Uruguay,Musiala|Wayne Rooney|Bernardo Silva|Uruguay
1,PL en cok kazanan?,Manchester United,Benfica|Didier Drogba|Raul|Manchester United
1,SL en cok kazanan?,Galatasaray,Aubameyang|Lazio|Galatasaray|Rivaldo
1,Barcelona en golcu?,Lionel Messi,Luka Modric|Vinicius Jr|Lionel Messi|Fatih Terim
1,Turkiye en golcu milli?,Hakan Sukur,David Beckham|Andrea Pirlo|Didier Drogba|Hakan Sukur
1,Brezilya kac DK?,5,Antoine Griezmann|Beckenbauer|Fiorentina|5
1,Almanya kac DK?,4,Frank Lampard|Anfield|Trabzonspor|4
1,Arjantin kac DK?,3,Wirtz|Fiorentina|3|Serie A
1,Fransa kac DK?,2,2|Maracana|Manchester United|Ribery
1,Ispanya kac DK?,1,1|Thibaut Courtois|Belcika|Kevin De Bruyne
1,Cristiano kac Altin Top?,5,5|Ronaldo Nazario|Sampiyonlar Ligi|Arjantin
1,Messi kac Altin Top?,8,Tottenham|Phil Foden|8|Signal Iduna
1,Trabzonspor kurulus?,1967,Ibrahimovic|Andres Iniesta|Arsenal|1967
1,Cim Bom Bom hangi takim?,Galatasaray,Ronaldo Nazario|Hirvatistan|Galatasaray|Lyon
1,EURO 2020 kazanan?,Italya,Italya|Jurgen Klopp|Orta Saha|Arsenal
1,EURO 2016 kazanan?,Portekiz,Portekiz|Ingiltere|ABD|Virgil van Dijk
1,GS UEFA Kupasi?,2000,2000|Arsenal|Vodafone Park|Manchester City
1,Pele kac DK?,3,Thierry Henry|Besiktas Park|Newcastle|3
1,Ronaldo Nazario kac DK?,2,Roberto Mancini|Roberto Baggio|2|Juventus
1,Mac kac devre?,2,Fatih Terim|Turkiye Kupasi|Meksika|2
1,Ofsayt hangi sporda?,Futbol,Raheem Sterling|Futbol|Bundesliga|Eden Hazard
1,Real Madrid kurulus?,1902,Almanya|Robben|Santrfor|1902
1,Barcelona kurulus?,1899,Roma|Roberto Mancini|1899|Sol Bek
1,Liverpool kurulus?,1892,Tottenham|Stamford Bridge|Luis Suarez|1892
1,Bayern kurulus?,1900,1900|Fas|Danimarka|Antonio Conte
1,Kara Kartallar?,Besiktas,Besiktas|Fatih Terim|Portekiz|Almanya
1,Sari Kanaryalar?,Fenerbahce,Antonio Conte|Fenerbahce|Maracana|Declan Rice
1,KD Firtinasi?,Trabzonspor,Musiala|Trabzonspor|Italya|Brezilya
1,Kral lakabi?,Pele,Serie A|Inter Milan|Dortmund|Pele
1,Avrupa Ligi en cok?,Sevilla,Paolo Maldini|Sevilla|Kevin De Bruyne|Juventus
1,DK en golcu?,Miroslav Klose,Miroslav Klose|Galatasaray|Hakan Sukur|Karim Benzema
1,Maradona hangi ulke?,Arjantin,Arjantin|Old Trafford|Ederson|Celtic
1,FIFA acilimi?,Uluslararasi Futbol Federasyonu,Belcika|Alisson|Kaleci|Uluslararasi Futbol Federasyonu
1,Hakan Sukur kac gol?,51,Erik ten Hag|Bruno Fernandes|51|Jude Bellingham
2,Liverpool kac SL?,6,PSG|Karim Benzema|6|Italya
2,Bayern kac SL?,6,6|Gianluigi Buffon|Raul|Lionel Messi
2,Barcelona kac SL?,5,5|Signal Iduna|Stoper|Wembley
2,AC Milan kac SL?,7,Lazio|Dortmund|Lionel Messi|7
2,Inter kac SL?,3,Misir|3|Bayern Munich|Romario
2,Ajax kac SL?,4,Raul|Ronaldo Nazario|4|Manchester City
2,ManUtd kac SL?,3,Inter Milan|Marco van Basten|3|San Siro
2,Chelsea kac SL?,2,Gianluigi Buffon|Casemiro|2|Sol Bek
2,Juventus kac SL?,2,Steven Gerrard|2|Manchester United|Manuel Neuer
2,Benfica kac SL?,2,Jude Bellingham|2|Ngolo Kante|Luis Suarez
2,Porto kac SL?,2,Antoine Griezmann|Luka Modric|Allianz Arena|2
2,RM kac SL?,15,Bruno Fernandes|Japonya|Marseille|15
2,Maldini hangi takim?,AC Milan,Wirtz|AC Milan|Casemiro|Gianluigi Buffon
2,Totti hangi takim?,Roma,Vodafone Park|Roma|Casemiro|Sol Bek
2,Gerrard hangi takim?,Liverpool,Ronaldo Nazario|Liverpool|Ederson|Turkiye
2,Lampard hangi takim?,Chelsea,Mikel Arteta|Diego Simeone|Maracana|Chelsea
2,Henry hangi takim?,Arsenal,Paolo Maldini|Romario|Arsenal|Ibrahimovic
2,Drogba hangi takim?,Chelsea,Carlo Ancelotti|Chelsea|Arsenal|Lazio
2,Hagi hangi takim?,Galatasaray,Ali Sami Yen|Francesco Totti|Rusya|Galatasaray
2,Alex hangi takim?,Fenerbahce,Mikel Arteta|Fenerbahce|Uruguay|Sevilla
2,Ispanya DK kac?,2010,2010|Hollanda|Wayne Rooney|Emirates
2,Dortmund kurulus?,1909,Ajax|Stamford Bridge|Wirtz|1909
2,PSG kurulus?,1970,Raul|Isvec|Roberto Mancini|1970
2,Ingiltere DK kac?,1966,Fatih Terim|1966|Ronaldinho|Thomas Muller
2,En genc DK?,Pele,Sergio Aguero|Didier Drogba|Dunya Kupasi|Pele
2,Griezmann hangi ulke?,Fransa,Robben|Fransa|Arsene Wenger|Mohamed Salah
2,De Bruyne hangi ulke?,Belcika,Stamford Bridge|Belcika|Paul Pogba|Steven Gerrard
2,Haaland hangi ulke?,Ingiltere,San Siro|Ingiltere|Alex Ferguson|Johan Cruyff
2,Ancelotti hangi ulke?,Italya,Belcika|Italya|Robert Lewandowski|Phil Foden
2,Guardiola hangi ulke?,Ispanya,Karim Benzema|Frank Lampard|Pele|Ispanya
2,Mourinho hangi ulke?,Portekiz,Avrupa Ligi|Luis Figo|Jose Mourinho|Portekiz
2,Klopp hangi ulke?,Almanya,Frank Lampard|Almanya|Avrupa Ligi|Francesco Totti
2,Terim hangi ulke?,Turkiye,Stamford Bridge|Inter Milan|Turkiye|Gerd Muller
2,Inter Milan kurulus?,1908,Mikel Arteta|1908|Ajax|Porto
2,AC Milan kurulus?,1899,Andres Iniesta|1899|Juventus|Parc des Princes
2,2006 DK kazanan?,Italya,Shevchenko|Italya|Pep Guardiola|Japonya
2,2002 DK kazanan?,Brezilya,Sampiyonlar Ligi|Sane|Brezilya|Parc des Princes
2,1998 DK kazanan?,Fransa,Robert Lewandowski|Santrfor|Fransa|Havertz
2,Uruguay DK kac?,1950,Sag Bek|Fatih Terim|Andres Iniesta|1950
2,Brezilya son DK?,2002,Forvet|2002|Orta Saha|Turkiye
2,EURO 2012 kazanan?,Ispanya,Musiala|Thierry Henry|Ispanya|Zinedine Zidane
2,EURO 2008 kazanan?,Ispanya,Ispanya|Thibaut Courtois|La Liga|Luka Modric
2,EURO 2004 kazanan?,Yunanistan,Hansi Flick|Yunanistan|Sergio Ramos|Pedri
2,Sampiyonlar Ligi ilk?,1956,Zinedine Zidane|Diego Simeone|PSG|1956
2,En yasli DK?,Essam El-Hadary,Manuel Neuer|Newcastle|Gerd Muller|Essam El-Hadary
2,Turkiye FF?,1923,Inter Milan|1923|Manchester United|FA Cup
2,Ronaldo kac Altin Top?,5,Turkiye|Raul|Aubameyang|5
4,Rustu Recber ulke?,Turkiye,Ribery|Portekiz|Turkiye|Thibaut Courtois
4,Arda Turan ulke?,Turkiye,Turkiye|Declan Rice|Andres Iniesta|Maracana
4,Emre Belozoglu ulke?,Turkiye,Marseille|Portekiz|Turkiye|Antoine Griezmann
4,Hakan Calhanoglu ulke?,Turkiye,Arsenal|La Liga|Alisson|Turkiye
4,Alex de Souza ulke?,Brezilya,Bernardo Silva|Jude Bellingham|Brezilya|Meksika
4,Roberto Carlos ulke?,Brezilya,Lazio|Pep Guardiola|Fatih Terim|Brezilya
4,Ronaldo Nazario ulke?,Brezilya,Steven Gerrard|Sergio Ramos|Benfica|Brezilya
4,Rivaldo ulke?,Brezilya,Brezilya|Forvet|Japonya|Avrupa Ligi
4,Ronaldinho ulke?,Brezilya,Aubameyang|Brezilya|Eden Hazard|Erling Haaland
4,Kaka ulke?,Brezilya,Marseille|Japonya|Brezilya|Stoper
4,Lucio ulke?,Brezilya,Ederson|Hollanda|Roma|Brezilya
4,Julio Cesar ulke?,Brezilya,Paul Pogba|Sol Bek|Wembley|Brezilya
4,Cafu ulke?,Brezilya,Brezilya|Casemiro|Ali Sami Yen|Harry Kane
4,Adriano ulke?,Brezilya,Bernabeu|Bruno Fernandes|Raul|Brezilya
4,Romario ulke?,Brezilya,Andrea Pirlo|Fas|Camp Nou|Brezilya
4,Bebeto ulke?,Brezilya,Hakan Sukur|Havertz|Serie A|Brezilya
4,Dunga ulke?,Brezilya,Isvec|Brezilya|Signal Iduna|Havertz
4,Luis Figo ulke?,Portekiz,Portekiz|Danimarka|Benfica|Belcika
4,Eusebio ulke?,Portekiz,Portekiz|Roberto Mancini|Stamford Bridge|Fiorentina
4,Deco ulke?,Portekiz,Porto|Portekiz|Thomas Tuchel|EURO
4,Rui Costa ulke?,Portekiz,Marseille|Frank Lampard|Toni Kroos|Portekiz
4,Ricardo Carvalho ulke?,Portekiz,Ribery|Portekiz|Unai Emery|Raheem Sterling
4,Pepe ulke?,Portekiz,EURO|Galatasaray|Francesco Totti|Portekiz
4,Zidane ulke?,Fransa,Super Lig|Roma|Signal Iduna|Fransa
4,Henry ulke?,Fransa,Fransa|Bernabeu|Neymar|Arsene Wenger
4,Thuram ulke?,Fransa,Rusya|Karim Benzema|Fransa|Ingiltere
4,Makelele ulke?,Fransa,Kanat|Sergio Ramos|Orta Saha|Fransa
4,Desailly ulke?,Fransa,Fransa|Nijerya|Andres Iniesta|Cristiano Ronaldo
4,Barthez ulke?,Fransa,Raheem Sterling|Japonya|Fransa|Jose Mourinho
4,Vieira ulke?,Fransa,Lyon|Serie A|Fransa|Kaka
4,Wenger ulke?,Fransa,Alisson|Meksika|Manchester City|Fransa
4,Cantona ulke?,Fransa,Tottenham|Fransa|Maracana|Japonya
4,Platini ulke?,Fransa,Ibrahimovic|Raul|Robert Lewandowski|Fransa
4,Mbappe ulke?,Fransa,Romario|Shevchenko|Fransa|Sporting
4,Pogba ulke?,Fransa,Casemiro|Uruguay|Fransa|Trabzonspor
4,Kante ulke?,Fransa,Kaleci|Fransa|Bruno Fernandes|Orta Saha
4,Griezmann ulke?,Fransa,Trabzonspor|Arjantin|Paul Pogba|Fransa
4,Benzema ulke?,Fransa,Hakan Sukur|Fiorentina|Chelsea|Fransa
4,Cruyff ulke?,Hollanda,Hollanda|Portekiz|Bruno Fernandes|Neymar
4,van Basten ulke?,Hollanda,Ederson|Joshua Kimmich|Hollanda|Manchester City
4,Gullit ulke?,Hollanda,Belcika|Hollanda|Copa America|Pep Guardiola
4,van Dijk ulke?,Hollanda,Hollanda|Arda Turan|Aston Villa|Ribery
4,Robben ulke?,Hollanda,Napoli|Toni Kroos|Virgil van Dijk|Hollanda
4,Rijkaard ulke?,Hollanda,Antoine Griezmann|Joshua Kimmich|Thomas Muller|Hollanda
4,Seedorf ulke?,Hollanda,Hollanda|Mikel Arteta|Celtic|Bruno Fernandes
4,Davids ulke?,Hollanda,Atletico Madrid|Santrfor|Ederson|Hollanda
4,Bergkamp ulke?,Hollanda,Aubameyang|Camp Nou|Turkiye Kupasi|Hollanda
4,van Nistelrooy ulke?,Hollanda,Beckenbauer|Fatih Terim|Hollanda|Sag Bek
4,de Jong ulke?,Hollanda,Hansi Flick|Hollanda|Fenerbahce|Antonio Conte
4,de Ligt ulke?,Hollanda,Ederson|Meksika|Hollanda|Besiktas
4,Beckenbauer ulke?,Almanya,Manchester United|Jurgen Klopp|Almanya|Avrupa Ligi
4,Gerd Muller ulke?,Almanya,Almanya|Arsenal|Tottenham|Bruno Fernandes
4,Matthaus ulke?,Almanya,Chelsea|Erik ten Hag|Almanya|Avrupa Ligi
4,Kahn ulke?,Almanya,Isvec|Antonio Conte|Almanya|Paul Pogba
4,Schweinsteiger ulke?,Almanya,Bernardo Silva|Almanya|Vinicius Jr|Manchester City
4,Lahm ulke?,Almanya,Guney Kore|Almanya|Sampiyonlar Ligi|Joshua Kimmich
4,Ballack ulke?,Almanya,Almanya|Fenerbahce|Pedri|Musiala
4,Klose ulke?,Almanya,Kevin De Bruyne|Almanya|Juventus|Fas
4,Neuer ulke?,Almanya,Harry Kane|Kaleci|Almanya|Beckenbauer
4,Modric ulke?,Hirvatistan,Pep Guardiola|Celtic|Hirvatistan|Fenerbahce
4,Rakitic ulke?,Hirvatistan,Hirvatistan|Virgil van Dijk|Marseille|Dunya Kupasi
4,Kovacic ulke?,Hirvatistan,Hirvatistan|Ribery|Bundesliga|Manchester United
4,Perisic ulke?,Hirvatistan,Vinicius Jr|Hirvatistan|Erik ten Hag|Harry Kane
4,Mandzukic ulke?,Hirvatistan,Hirvatistan|Neymar|Pep Guardiola|Sol Bek
4,Suker ulke?,Hirvatistan,Chelsea|Robben|Hirvatistan|Sane
4,Lewandowski ulke?,Polonya,EURO|Galatasaray|Cristiano Ronaldo|Polonya
4,Szczesny ulke?,Polonya,Harry Kane|Arda Turan|Polonya|AC Milan
4,Piatek ulke?,Polonya,Isvec|Besiktas|Camp Nou|Polonya
4,Haaland ulke?,Ingiltere,Celtic|Ingiltere|Didier Drogba|West Ham
4,Kane ulke?,Ingiltere,Mikel Arteta|Paul Pogba|Declan Rice|Ingiltere
4,Stirling ulke?,Ingiltere,Casemiro|Kaka|Uruguay|Ingiltere
4,Rashford ulke?,Ingiltere,Ingiltere|Mohamed Salah|Pedri|Allianz Arena
4,Saka ulke?,Ingiltere,PSG|Sag Bek|Ingiltere|Mohamed Salah
4,Foden ulke?,Ingiltere,Ingiltere|Vicente Del Bosque|Orta Saha|Sukru Saracoglu
4,Bellingham ulke?,Ingiltere,Michel Platini|Andres Iniesta|Nedved|Ingiltere
4,Sancho ulke?,Ingiltere,Roberto Baggio|West Ham|Ingiltere|Serie A
4,Rice ulke?,Ingiltere,Unai Emery|Ribery|Emirates|Ingiltere
4,Shearer ulke?,Ingiltere,Antonio Conte|Francesco Totti|Ingiltere|Pedri
4,Rooney ulke?,Ingiltere,Beckenbauer|Raul|Ingiltere|Paolo Maldini
4,Owen ulke?,Ingiltere,Virgil van Dijk|Jude Bellingham|Forvet|Ingiltere
4,Lampard ulke?,Ingiltere,Andrea Pirlo|Galatasaray|Ingiltere|Avrupa Ligi
4,Gerrard ulke?,Ingiltere,Luka Modric|Joshua Kimmich|Avrupa Ligi|Ingiltere
4,Rio Ferdinand ulke?,Ingiltere,Havertz|Ronaldo Nazario|Super Lig|Ingiltere
4,Terry ulke?,Ingiltere,Brezilya|Liverpool|Ingiltere|Fransa
4,Cole ulke?,Ingiltere,Ingiltere|Ali Sami Yen|Camp Nou|Marco van Basten
4,Scholes ulke?,Ingiltere,Ingiltere|Paolo Maldini|Thierry Henry|Maradona
4,Giggs ulke?,Galler,Benfica|Galler|Arjantin|Barcelona
4,Bale ulke?,Galler,Hollanda|Lionel Messi|Galler|Sukru Saracoglu
4,Suarez ulke?,Uruguay,Sane|Belcika|Mohamed Salah|Uruguay
4,Godin ulke?,Uruguay,Shevchenko|Brezilya|Uruguay|Isvec
4,Cavani ulke?,Uruguay,Chelsea|Pep Guardiola|Uruguay|Lyon
4,Forlan ulke?,Uruguay,Uruguay|Chelsea|Almanya|Jude Bellingham
4,Francescoli ulke?,Uruguay,Thierry Henry|Uruguay|Lionel Messi|Maracana
4,Dzeko ulke?,Bosna Hersek,Jose Mourinho|Bosna Hersek|Santrfor|Kaleci
4,Ibrahimovic ulke?,Isvec,Isvec|Porto|Barcelona|Arsenal
4,Ljungberg ulke?,Isvec,Sergio Aguero|Diego Simeone|Isvec|Jude Bellingham
4,Osimhen ulke?,Nijerya,Nijerya|Lyon|Wirtz|Arsenal
4,Kvaratskhelia ulke?,Gurcistan,Gurcistan|Marco van Basten|Harry Kane|Premier Lig
4,Musiala ulke?,Almanya,Arda Turan|Almanya|Super Lig|Manuel Neuer
4,Wirtz ulke?,Almanya,Copa America|Musiala|Barcelona|Almanya
4,Gavi ulke?,Ispanya,Ispanya|Maradona|Paul Pogba|Marseille
4,Olmo ulke?,Ispanya,Copa America|Anfield|Robert Lewandowski|Ispanya
4,Nico Williams ulke?,Ispanya,Karim Benzema|Zinedine Zidane|Frank Lampard|Ispanya
4,Lamine Yamal ulke?,Ispanya,Fenerbahce|Roberto Mancini|Ispanya|Erling Haaland
4,Bernardo Silva ulke?,Portekiz,Portekiz|Diego Simeone|Isvec|Sampiyonlar Ligi
4,Bruno Fernandes ulke?,Portekiz,Anfield|Portekiz|Arjantin|Beckenbauer
4,Dias ulke?,Portekiz,Portekiz|Arsenal|Virgil van Dijk|Andres Iniesta
4,Felix ulke?,Portekiz,Celtic|Harry Kane|Portekiz|Fenerbahce
4,Leao ulke?,Portekiz,Roma|Portekiz|Nedved|Uruguay
4,De Bruyne ulke?,Belcika,Trabzonspor|Ngolo Kante|Nedved|Belcika
4,Hazard ulke?,Belcika,Raul|Nijerya|Belcika|Musiala
4,Kompany ulke?,Belcika,Fenerbahce|Belcika|Vinicius Jr|PSG
4,Courtois ulke?,Belcika,Tottenham|Belcika|Bruno Fernandes|Aston Villa
4,Vermaelen ulke?,Belcika,Japonya|Ajax|Frank Lampard|Belcika
4,Vertonghen ulke?,Belcika,Belcika|Gerd Muller|Sevilla|Forvet
4,Alderweireld ulke?,Belcika,Ronaldinho|Fas|Sol Bek|Belcika
4,Nainggolan ulke?,Belcika,Jose Mourinho|Belcika|Kylian Mbappe|Liverpool
4,Lukaku ulke?,Belcika,Ederson|Aston Villa|Belcika|Sane
2,1996 Sampiyonlar Ligi sampiyonu hangisi?,Porto,Besiktas|Allianz Arena|Santrfor|Porto
2,1994 FA Cup sampiyonu hangisi?,Chelsea,Chelsea|Sukru Saracoglu|Luka Modric|Inter Milan
2,2004 La Liga sampiyonu hangisi?,ABD,ABD|Ederson|Kanat|Sevilla
2,2014 Premier Lig sampiyonu hangisi?,Tottenham,Ispanya|Ibrahimovic|Roma|Tottenham
1,2000 Serie A sampiyonu hangisi?,Almanya,Almanya|Harry Kane|Uruguay|Sevilla
1,2022 Bundesliga sampiyonu hangisi?,Manchester City,Manchester City|Aston Villa|Ederson|Tottenham
2,2022 Turkiye Kupasi sampiyonu hangisi?,Ingiltere,Jurgen Klopp|Osimhen|Ingiltere|Erling Haaland
1,2022 EURO sampiyonu hangisi?,Fransa,Fiorentina|Fransa|Johan Cruyff|Gianluigi Buffon
1,2020 FA Cup sampiyonu hangisi?,AC Milan,Ronaldinho|Allianz Arena|Vicente Del Bosque|AC Milan
1,1996 Bundesliga sampiyonu hangisi?,Roma,Roma|Casemiro|Portekiz|Thomas Tuchel
2,2010 Premier Lig sampiyonu hangisi?,Fas,FA Cup|Stamford Bridge|Virgil van Dijk|Fas
2,2018 Sampiyonlar Ligi sampiyonu hangisi?,Ajax,Ajax|Brezilya|Polonya|FA Cup
1,2004 Ligue 1 sampiyonu hangisi?,Polonya,Ronaldo Nazario|Barcelona|Polonya|Almanya
1,2022 Super Lig sampiyonu hangisi?,Belcika,Dortmund|Roberto Mancini|Belcika|Roberto Baggio
2,2012 Super Lig sampiyonu hangisi?,Isvec,Isvec|Ederson|Sol Bek|Toni Kroos
2,1998 Super Lig sampiyonu hangisi?,Aston Villa,Aston Villa|Ngolo Kante|Sag Bek|Parc des Princes
2,2014 Sampiyonlar Ligi sampiyonu hangisi?,Newcastle,Roma|Newcastle|Erling Haaland|Declan Rice
1,2000 Copa America sampiyonu hangisi?,Nijerya,Gianluigi Buffon|Raheem Sterling|Nijerya|Kylian Mbappe
1,2010 Serie A sampiyonu hangisi?,Marseille,Alex Ferguson|Arsene Wenger|Gerd Muller|Marseille
2,2012 FA Cup sampiyonu hangisi?,Fas,Osimhen|Joshua Kimmich|Stoper|Fas
1,1990 FA Cup sampiyonu hangisi?,Brezilya,Belcika|Sevilla|Brezilya|Sampiyonlar Ligi
1,2002 Premier Lig sampiyonu hangisi?,Isvec,Steven Gerrard|Isvec|La Liga|Emirates
1,2016 FA Cup sampiyonu hangisi?,Manchester City,Vodafone Park|Turkiye Kupasi|Manchester City|Benfica
1,2000 Sampiyonlar Ligi sampiyonu hangisi?,Fas,Harry Kane|Chelsea|Old Trafford|Fas
1,2004 Dunya Kupasi sampiyonu hangisi?,Trabzonspor,West Ham|Havertz|Trabzonspor|Musiala
1,2020 Dunya Kupasi sampiyonu hangisi?,Trabzonspor,Ederson|Italya|Trabzonspor|Wayne Rooney
2,2004 Copa America sampiyonu hangisi?,Guney Kore,Lionel Messi|Porto|Guney Kore|Avrupa Ligi
1,2016 Ligue 1 sampiyonu hangisi?,Napoli,Vodafone Park|Napoli|West Ham|Ajax
1,2014 Ligue 1 sampiyonu hangisi?,Manchester City,Manchester City|Kanat|Camp Nou|Pedri
1,1998 Avrupa Ligi sampiyonu hangisi?,Barcelona,Johan Cruyff|Barcelona|Joshua Kimmich|Porto
2,1998 Turkiye Kupasi sampiyonu hangisi?,Nijerya,Nijerya|Jurgen Klopp|David Beckham|Erling Haaland
2,1994 Super Lig sampiyonu hangisi?,Rusya,EURO|Rusya|Bernardo Silva|Robben
2,1990 EURO sampiyonu hangisi?,Dortmund,Misir|Parc des Princes|Valencia|Dortmund
1,1994 Ligue 1 sampiyonu hangisi?,Trabzonspor,Lazio|Trabzonspor|Sag Bek|Atletico Madrid
2,1990 Bundesliga sampiyonu hangisi?,Roma,Roma|Hirvatistan|Manuel Neuer|Diego Simeone
1,1994 Sampiyonlar Ligi sampiyonu hangisi?,Fiorentina,Turkiye Kupasi|Unai Emery|Parc des Princes|Fiorentina
1,2008 Avrupa Ligi sampiyonu hangisi?,Fiorentina,Sergio Aguero|Signal Iduna|Fiorentina|Fransa
2,2018 Turkiye Kupasi sampiyonu hangisi?,Sporting,Sporting|Guney Kore|Aston Villa|Valencia
1,2018 Copa America sampiyonu hangisi?,Belcika,Kanat|Toni Kroos|Sporting|Belcika
2,1992 Turkiye Kupasi sampiyonu hangisi?,Marseille,Marseille|Johan Cruyff|Arsene Wenger|Romario
2,2012 Turkiye Kupasi sampiyonu hangisi?,Porto,Besiktas Park|Porto|Aubameyang|Super Lig
1,2008 La Liga sampiyonu hangisi?,Japonya,Ingiltere|Japonya|Newcastle|Brezilya
2,2000 Avrupa Ligi sampiyonu hangisi?,Polonya,Thomas Tuchel|Kaka|Polonya|Ali Sami Yen
1,2012 Copa America sampiyonu hangisi?,Hirvatistan,Thomas Tuchel|Inter Milan|Hirvatistan|Paul Pogba
1,2004 Turkiye Kupasi sampiyonu hangisi?,Liverpool,Frank Lampard|Liverpool|Hirvatistan|Anfield
1,1992 Copa America sampiyonu hangisi?,Liverpool,Kylian Mbappe|Newcastle|Liverpool|Napoli
1,2018 La Liga sampiyonu hangisi?,Belcika,Belcika|Uruguay|Danimarka|Wirtz
1,2000 Super Lig sampiyonu hangisi?,Ajax,Ajax|Turkiye|Napoli|Vicente Del Bosque
2,2024 Avrupa Ligi sampiyonu hangisi?,Guney Kore,Maracana|Carlo Ancelotti|Arjantin|Guney Kore
2,2008 Sampiyonlar Ligi sampiyonu hangisi?,Japonya,Ederson|Japonya|Arda Turan|Xavi
1,2022 Avrupa Ligi sampiyonu hangisi?,Barcelona,Premier Lig|Belcika|Barcelona|Sol Bek
2,2004 Bundesliga sampiyonu hangisi?,Misir,Marseille|Misir|Dunya Kupasi|Manuel Neuer
2,2010 Bundesliga sampiyonu hangisi?,Porto,Anfield|Osimhen|Porto|Robert Lewandowski
2,2016 Serie A sampiyonu hangisi?,Lyon,Phil Foden|Lyon|Maradona|Sergio Ramos
2,1992 Bundesliga sampiyonu hangisi?,Misir,Signal Iduna|Misir|Aston Villa|Fatih Terim
1,2022 La Liga sampiyonu hangisi?,Trabzonspor,Luis Figo|Maradona|Trabzonspor|Kaleci
1,1990 Super Lig sampiyonu hangisi?,Bayern Munich,Liverpool|Bayern Munich|Cristiano Ronaldo|Sergio Ramos
2,2006 Sampiyonlar Ligi sampiyonu hangisi?,Uruguay,Phil Foden|Arda Turan|Polonya|Uruguay
